0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
VGlut,pros,spab,disco,CG14989,Imp,beat-Ic,Hsp23,Pka-R2,D,CG9394,D,Gad1,acj6,CG9377,otp,Sp1,Optix,DIP-zeta,DIP-theta,CG18598,Vsx2,Pka-R2,Hug,CG14340,Ilp2,sosie,otp,CG8641,CG12239,vg,sosie,l(2)tid,beat-IIa,Mlc1,CG6723,Pdf,CG2016,Trh,CG2016,vvl,DIP-theta,DAT,CG4250,Ms,Pka-C3,Hug,CCHa2,CG14989,Dh31,whe,CG42458,CG1402,Arr2,Scp2,CG14989,Dgp-1,Yp1,CG3257,CG2650,CG9686,VGlut,slp1,mspo,Vmat,Octbeta1R,CG3036,Nep2,EbpIII,Dtg,CG3168,CG4783,mbl,AstA,CG8034,CG5597,Pdh,bi,nAChRalpha6,CG10031,CG14687,CG13284,CG15201,l(3)mbn,CG34402,CG34398,CNMa
CG32017,CR31451,heph,disco-r,Gad1,mamo,CR45621,Hsp26,sNPF,Sox21b,Gat,VGlut,CG14989,CR45223,CG16743,vg,Six4,Lim1,CR44366,scro,CG11000,VGlut,Eip93F,CG11413,SoxN,Ilp3,Rh7,ST6Gal,mamo,CR44832,CG14989,nAChRalpha6,Tim9a,Tk,Act57B,Sod3,AstC,Eaat1,SerT,CG42540,Vsx2,vvl,ple,regucalcin,Capa,CG2016,Proc,AstC,Gad1,kn,lcs,aop,VGlut,Arr1,Obp18a,Gad1,ImpL3,Yp2,Frq1,CG16836,MtnA,CG11294,slp2,CR45621,Tdc2,CG14989,eEF1alpha1,VGlut,CCHa1,CG2145,Cys,Cht8,Eip63F-1,CG32017,ort,CG13931,fabp,shakB,CG5890,yellow-b,Poxn,CG5065,Obp44a,CG8483,Nep2,CG11370,cry
Nplp1,dati,jeb,CR31451,VGAT,futsch,CG9650,CR32865,prt,CR31451,CG31705,Sox21b,CG11294,fkh,Tsf1,CR45141,Optix,NPF,SoxN,Bx,Rbp6,Ets65A,crb,Obp44a,CG42750,Ilp5,Pka-C3,hth,jdp,CG14331,Gad1,CG9896,CG11562,acj6,wupA,Ugt35b,CG17777,CG15522,Vmat,CG6044,CG9896,CG9896,Vmat,CG14629,dve,Tk,twit,CG31221,Vsx2,CG32698,CG16826,Frq1,CR45223,ninaE,CG5791,D,CG8620,Yp3,Eip63F-1,IM3,wrapper,svp,Vsx2,CG42394,CG4577,Nos,Timp,CG45781,CG5973,Ndae1,CG4797,Ag5r,CG14274,CG10257,Fife,RhoGEF64C,CG6870,NaCP60E,Lmx1a,Cyp4g15,Mcm5,glob1,wkd,CG1368,CG31760,Cat,Mmp2
CG34355,CG31221,CG31221,CG43689,CG32017,mbl,CG31221,Hsp67Bc,Rgk1,CG31221,Gs2,CG45781,Lim3,CG15628,Ugt35b,IA-2,CR31451,Ets65A,ort,tey,shakB,Vsx1,mub,Irk2,CNMaR,TM4SF,Mmp2,Oaz,Pka-C1,Tk,CR45141,beat-Ic,Act42A,beat-IIb,Mlp60A,Obp44a,bru3,CG14274,JhI-21,CG1358,Cbp53E,Cbp53E,Fer2,Col4a1,CG4577,CG14340,rhea,bru3,CG32698,hui,CG14645,CG2016,CG42340,rtp,CG4716,Nos,CR44138,CG6503,CG8641,EbpIII,fabp,msi,VGlut,CG32982,SIFa,Gad1,CG9338,mirr,Phk-3,b,CG14687,CG5399,CG12672,nAChRalpha6,Sytalpha,mwh,CG1561,Octbeta1R,Sdc,CG11378,CG14989,Baldspot,CG34446,Ets65A,Tk,CG11413,nrv1
CG10804,Lim1,Ddc,Ddc,CG10804,Msp300,VAChT,Hsp27,GstD11,CG14762,alrm,Nplp1,VGAT,beat-IIIc,CG8369,CR31451,eya,CG43902,CG31221,CG9650,Teh2,cpx,Rgk1,CG14989,acj6,CG31808,Tk,CG43729,CG13739,HLH4C,disco,acj6,P5cr,nAChRalpha7,up,nrv2,CG18599,Octbeta2R,Ddc,CG34355,pyd,Syp,JhI-21,Ppn,bru3,ckn,Crz,CR31451,br,VGlut,Dbi,Cbp53E,CG13739,Gbeta76C,CG14892,Sox21b,CG11893,CG34166,Npc2a,CG5973,CG6218,CG15478,CG1504,eys,Sox21a,Ets65A,Fas2,Ets65A,Cyt-b5,CG17121,Tret1-1,CG14645,CG10257,CR45312,Ca-alpha1T,PHDP,CG4842,CG14989,Tk,CG9336,Nep1,CG31522,euc,CG14232,Optix,Mmp1,Dh31
CG2269,VAChT,Hsp67Bc,bi,Ssadh,Rbp9,SoxN,Hsp68,Pka-C1,SoxN,CG1552,CG34355,mab-21,CG14509,CG31706,bru3,Dop2R,CG15082,scro,VAChT,CG14509,CG34155,CG11191,retinin,Drgx,Gpb5,CG43078,caup,Pka-C3,CG30053,disco-r,beat-Ib,mRpL27,Con,dpr21,CG9657,CG2269,hbn,CG2269,CG3822,Vsx1,Rbp6,Ddc,CG5080,7B2,CG42458,CG42394,sNPF,DIP-delta,Vsx2,Ms,scro,pyr,ninaC,CG13408,Cngl,Cyp6g1,Nplp2,dpr3,wry,CG2852,CG10804,CR31451,Rbp6,Tbh,hbn,CG18067,cpx,Obp56d,Obp44a,CG6126,ND5,DIP-beta,heph,VGlut,sls,CG40485,CG45049,CG15312,nrv2,CG42817,Cpr49Ae,lectin-46Cb,poe,Lim1,CG9512,AstC
CR31451,Hs3st-A,pros,Dop2R,pb,CG43689,beat-Ib,Hsp70Bc,CG32204,toy,CG13631,CG32017,msi,bi,GstD9,CG2269,Dll,Mip,Wnt4,Fkbp14,CG42392,CG34355,prt,Hsp23,Lim1,Pdf,Octbeta1R,acj6,CG31997,IA-2,CG32017,CG14142,mRpL52,Calx,mam,CG8369,bi,Crz,Pu,Npc2a,beat-IIIc,Ggamma30A,DIP-delta,CG17574,amon,Drgx,ITP,IA-2,msi,DIP-delta,CG10737,Nos,ort,CG34134,CG33993,sNPF,Xrp1,CR45845,hth,,CG40470,Rh7,Vsx1,mbl,Lim1,CG10089,CG1648,inaE,atilla,CG15201,CG10550,ND4,CG32982,mAChR-B,Ggamma30A,CG1943,Rab32,nAChRalpha7,CG1402,CG31676,jdp,CG1213,alrm,Trs31,haf,CG11852,CG13054
IA-2,CR44024,CG14762,mbl,CG32225,IA-2,scro,DnaJ-1,jdp,Octbeta3R,CG15209,CG11294,CG10804,nAChRalpha7,CG3940,CG18467,bru3,Pka-R1,toy,CG42402,CG10947,CG10804,jdp,Hsp26,ST6Gal,CG42394,CG9896,mirr,Dop1R2,Lim1,CG18599,beat-Ia,CG14683,Drep3,CG7582,Spn43Ab,CG13054,CG34351,7B2,CG33777,CG31475,Bx,CG43729,Karl,Ptx1,CG17193,CG10527,fz2,Lim3,dpr5,Ssb-c31a,CR45621,CG8401,trp,CG15201,CG44422,IscU,Msp300,msi,,CG3270,tup,CG30419,kirre,CR44165,CG13698,sog,eys,CG31207,bnb,CG4991,ND6,CG33639,IA-2,SPR,Mhcl,Tsp,CG2016,beat-Vb,Alp4,Dh31,Cpr67B,fabp,CG15456,Fas3,CG8630,svr
slgA,CG11030,IA-2,Wnt4,slgA,fne,CG11085,Hsp83,mub,Hasp,CG43693,CG10804,CG13739,MRE23,CG10433,Rfx,spab,Pkc53E,glec,dpr13,CG9813,Sap47,Rab27,Gapdh1,Ten-a,spab,CG31221,C15,mub,hig,VGAT,Tk,CG11722,NetA,Lim1,CG9686,tim,Mmp2,Pcd,VepD,nAChRalpha6,glec,Pu,CG43236,fru,ST6Gal,CG1648,Fer1,svp,CG42674,eEF1alpha1,sosie,Grd,Galphaq,inaD,SoxN,CG7130,Sxl,igl,,apolpp,CG42458,sim,dpr17,Imp,CG9896,SPARC,D,CG5945,Cyp4g15,CG5687,ND1,hbn,mAChR-A,foxo,klar,CG14275,CG15394,RluA-1,Idgf6,Tomosyn,CG31523,Irk3,CdsA,jeb,cib,Clk
pros,CG14762,VAChT,eys,CG9674,Gpb5,Vsx2,stv,Imp,VAChT,CAH1,cpx,NLaz,CG14322,CG9686,VGlut,salr,bru3,VAChT,CG32647,scro,Scp2,Pka-C1,eIF2Bbeta,zld,,rdgA,Drep3,DAT,amon,CG4328,Pde1c,CG6999,fkh,Pdf,CG9507,IA-2,GILT1,IA-2,nAChRalpha7,scro,Dop2R,kek1,Cp1,IA-2,CG3257,AnxB9,Sox21a,heph,Lim3,vir-1,Tk,Tk,Cpn,ltl,Lim3,CG8646,ND1,CG12994,,CG15201,Nplp1,CG6006,Wnt10,Dl,Pka-C3,CG5390,Syt1,CG13833,Npc2a,CG8837,ed,Fer2,Lmx1a,Fim,dati,CG13077,CG13698,caup,Irk2,Gad1,alpha-Est7,NimB4,Bili,CG34155,Cht5,CR45566
Corin,ChAT,CR31451,CG31221,IscU,jeb,CG9109,Hsp67Ba,CG34402,Hs3st-A,CG1537,beat-Ic,CG8861,futsch,CAH1,CG18599,jeb,heph,Cbp53E,vvl,CG31345,chrb,Mef2,DnaJ-1,Scp2,,bsh,CR32111,CG7646,CR31451,CG10804,dpr1,mEFTu1,sgg,,Irk2,7B2,CG9932,CG1275,Argk,CG42541,Tk,Dhpr,Hml,CG1275,GABA-B-R1,bark,croc,mAChR-A,dpr2,CG34423,dpr9,CG13229,inaC,euc,cpx,CG2076,orb2,Ggamma30A,,CG8369,SoxN,zfh2,vvl,JhI-21,Pvf3,CG7135,CG14459,Obp56e,CG42489,Gabat,kis,CG42342,Dat,fd59A,Awh,se,RapGAP1,VGlut,SPARC,Rdl,CG34330,Tsf1,CG11317,Ets65A,Act42A,Pdfr
bru3,bru3,acj6,twz,caup,CG43222,toy,Hsp70Aa,Dop1R2,spab,Act79B,kn,cpx,CG43902,Msr-110,Lmx1a,fd102C,cert,dpr13,dpr8,glob1,nrv3,Dop1R2,Nplp3,Atox1,,Rbp6,ara,CG30158,CG4577,CR31451,Cbp53E,CG16787,bi,,CG31676,vri,orb,Sytbeta,CG42450,CG31221,scro,CG3823,CG34331,Sytbeta,Con,lbm,dati,mab-21,D,CG33774,CG31221,CG9650,inaD,CG10799,Pde1c,CG2837,Rbp9,CG43795,,CG33296,CR45312,ap,Pvf3,Nep2,Dll,vir-1,CG14274,Obp57b,CG10062,Oda,Sema2b,dpr17,hbn,Octbeta1R,Kank,Cpr72Ec,Gad1,CG43689,CG15201,D,eEF5,Obp18a,SelD,Tdc2,pio,VGlut
CG18467,sm,dati,VAChT,nvy,SK,St3,Hsp70Ab,mamo,ChAT,ogre,Frq1,CG4766,VAChT,CG9657,CG4328,IA-2,Rx,CR45621,dpr1,slp1,CG9650,Nep1,CG9512,Fas3,,CG42541,mbl,trio,CG1275,Wnt10,scro,Imp,Cbp53E,,CG10513,fax,Drep3,CG43222,CG34384,mspo,Rbfox1,CG42817,Inos,mbl,Pde1c,CG1572,CG14762,rad,Ggamma30A,Prosbeta3,Rbp6,CG6044,ninaA,CG6356,mab-21,Hsp60A,Rbp1-like,Cngl,,MFS9,Fife,bru3,scro,CG14516,Bx,CG9336,CG34383,Cyp313a1,Reg-5,SPARC,,bi,fend,kcc,cpo,Tsp42Ea,Tsp97E,disco-r,Nep2,grn,emp,CG32032,CG32000,Bx,CG15629,CG34247
Lmx1a,hdc,CG14024,DIP-theta,Fer1,sm,beat-Ia,CR31451,Pka-C3,bru3,CG7607,RNASEK,CG32225,salr,CG5895,7B2,pros,robo2,Frq1,cpo,pdm3,CG32017,5-HT1A,Hsp83,CG43902,,hth,cpo,fok,CG13248,Ssadh,rdgA,mRpL28,CG17193,,CG14945,Clk,AMPdeam,CG4199,CG13698,CR46003,Ten-a,Dop2R,lectin-28C,Phm,CG43729,mbl,Lim1,Vsx1,dpr8,ADPS,TfAP-2,cpx,Rh2,CG14509,CG8861,Jafrac1,CG2918,luna,,Obp44a,Hmx,dati,Ktl,Rgk3,NijC,CG10550,CG1124,CG10237,Scp2,nec,,BicD,Nplp1,dve,CG11638,Cpr49Ag,ort,disco,LanB1,HLH3B,CG34215,CG34445,CG5045,CG32532,Npc2b,CG43902
Dop2R,CG46301,ChAT,unc-13-4A,mirr,chic,cindr,Hsc70-4,ab,hig,Treh,nrv3,fend,nAChRalpha5,nrv2,fd59A,mbl,Ten-a,CG14762,cindr,AstA-R1,Syx1A,sNPF,nSyb,CG31221,,Nckx30C,tup,Rgk1,Alk,Lmx1a,CG34113,mRpL51,mspo,,CG30197,cry,CG34355,CG4577,VGlut,dpr1,5-HT2A,sick,CG10131,CG43222,RluA-1,SP1173,pros,side,tup,Moe,beat-IIa,fd59A,chp,Tsf1,Pvf3,CG12264,CNBP,app,,euc,bi,CG34355,CG11085,7B2,beat-VII,MRE16,CG14509,emp,nemy,CR43870,,CG11317,CG10804,Oamb,VAChT,Swim,Ets65A,hbn,CG5065,Dat,CG32444,MtnA,CG34114,AstC-R2,NijC,CG43689
CG6123,Pde6,rad,CG14762,hth,hth,jeb,lrRNA,rut,CG32683,Eaat1,CR44978,Argk,NaCP60E,MtnA,Ddc,CR43724,IA-2,TM4SF,Rbfox1,cpx,Snap25,Cks85A,Hr38,Sox102F,,CG2016,tnc,RhoGDI,fax,CG45781,RunxB,mRpL24,CG42541,,Cyp28d1,Dh44,CG11000,Imp,bi,Rdl,Epac,Bx,lectin-24Db,GC,beat-IIa,CG8401,Ptp99A,trv,TrissinR,CG41378,CG42541,Frq1,SmydA-8,CG9336,CG4766,asrij,hdc,Fer2,,CG42235,CG32017,klg,ChAT,Pu,GluRIB,Mdh1,Atox1,CG4000,T48,Indy,,CG42674,CG4328,Pdk,spict,CG9572,Ggamma30A,cmpy,CG9691,Lim1,CG42329,CG3790,CG11454,Imp,CG42749,inaC
CG4328,mbl,CG7708,Hs3st-A,CR31451,CG3262,ChAT,fne,Pkc53E,DIP-theta,Tsp5D,DIP-eta,hth,Cow,CG7888,dati,CG2269,CG12194,klg,toy,CG32647,CG8916,Tsp42En,Gad1,fkh,,CG13685,kn,dlg1,svr,CG32225,Atox1,CG1265,CG13698,,CG7888,Sytbeta,ome,Phm,Scp2,Tk,rdgA,hth,Sr-CI,CR31451,Mmp2,Tsp42Ef,7B2,CG12541,CG44422,tou,trn,DIP-gamma,trpl,CG9691,VGAT,MFS3,mbt,Fas2,,Slc45-1,PVRAP,CG32017,Octbeta3R,Nep1,cpx,Tsp42Ea,Sox21b,CG6409,CG6218,Eip71CD,,opa,CG11294,SIFaR,CG34383,CG2767,Slob,CG1688,Idgf2,Dr,CG15021,CG1092,pkaap,bru3,CG32170,CG7236
hbn,hig,bma,wry,Corin,Frq2,Snap25,Hsc70-3,Bx,dpr13,CG14141,Snap25,svp,toy,vir-1,CG34355,dati,Rim,CG31814,Ace,slp2,msi,Pkc53E,Hsp68,CG3655,,ckn,CG7708,CG31191,Sytbeta,Nplp1,beat-IIIc,CG10098,CG2082,,Ect3,CG7191,CG43795,Dh44,CG5910,dpr6,Pka-C3,Appl,nAChRbeta3,Pdi,Rbp6,Fas2,jdp,CG13739,ey,CR40469,Hk,AstC-R1,CG9780,Snp,Nckx30C,Pgi,side,CG13954,,CG31706,Hasp,Pdcd4,CG2082,hig,Eip63F-1,RpLP2,SoxN,GstE9,fusl,Dip-B,,Lim1,Vsx2,unc-13-4A,CG13887,CG7409,Bx,CG4328,CG7342,Gprk2,Cpr51A,Tsp42Ea,CG9391,Nep1,schlank,mthl14
dati,CG7708,Fer1,beat-Va,Nplp1,Btk29A,Sox102F,l(1)G0469,CG32700,px,Msr-110,Vha55,Proc,tipE,CG4409,prim,beat-IIIc,CG32532,D,nrv3,para,scyl,CG3625,CR32865,Frq1,,Epac,ChAT,Pka-R2,CG32532,dati,CG13685,mRpS25,CG42313,,CG3940,Dr,Nrg,Pka-R1,Pde11,erm,CG4341,Lim1,CtsB1,beat-VII,kek3,CG14274,rad,VGAT,stai,Rpb12,inaE,CG14322,Culd,CG9689,CG4341,Pgm,sPLA2,CG33639,,CG42613,Octbeta1R,Dop2R,Octbeta2R,CG32532,Tsp97E,Ance,CG32264,CG2254,CG9686,Ssadh,,CngA,CG12994,CR45312,sn,CG17549,Appl,CG34155,Npc2b,CG14354,CG15213,CG3746,sws,CG13579,CG13067,gl
